composer,composer_dob,opera
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),El patinillo (1909 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Pepe el liberal (19.2.1909 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Los juglares (13.12.1911 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Lirio entre espinas (1911 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),La suerte de Isabelita (1911 Madrid) [+ Calleja]
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Los viajes de Gulliver (1911 Madrid) [+ Vives]
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Los ángeles mandan (1912 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),El coche del diablo (1912 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),El cuento del dragón (1912 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Las hijas de Venus (1912 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Los hombres que son hombres (1912 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Ovación y oreja (1913 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),El príncipe Pío (1913 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),El gran simulacro (1914 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Malagueñas (1914 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),El ojo de gallo (1914 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Las castañuelas (1915 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Cine fantomas (1915 Madrid)
