name,year_of_birth,year_of_death,place_of_birth,gender,other_names,ddd,ddd,last_name,first_name,,
Auer Leopold,1845,1930,Germany,Male,Auer Leopold,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Auer Leopold', 1845, 1930, 'Germany', 'Male', 'Auer Leopold')",#VALUE!,Auer,Leopold,,"Auer, Leopold"
Auerbach,1973,,Russian Federation,Female,Auerbach,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Auerbach', 1973, 'Russian Federation', 'Female', 'Auerbach')",#VALUE!,Auerbach,,,"Auerbach, "
Augst,1962,,Germany,Male,Augst,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Augst', 1962, 'Germany', 'Male', 'Augst')",#VALUE!,Augst,,,"Augst, "
Auzet,1964,,France,Male,Auzet,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Auzet', 1964, 'France', 'Male', 'Auzet')",#VALUE!,Auzet,,,"Auzet, "
Avramovski,1943,2007,"Macedonia, Republic of",Male,Avramovski,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Avramovski', 1943, 2007, 'Macedonia, Republic of', 'Male', 'Avramovski')",#VALUE!,Avramovski,,,"Avramovski, "
Ayres,1965,,United Kingdom,Male,Ayres,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Ayres', 1965, 'United Kingdom', 'Male', 'Ayres')",#VALUE!,Ayres,,,"Ayres, "
BachCPE,1714,1788,Germany,Male,BachCPE,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('BachCPE', 1714, 1788, 'Germany', 'Male', 'BachCPE')",#VALUE!,BachCPE,,,"BachCPE, "
BachE,1946,,Denmark,Male,BachE Francis Edward,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('BachE', 1946, 'Denmark', 'Male', 'BachE Francis Edward')",#VALUE!,BachE,Francis,Edward,"BachE, Francis Edward"
Bach Johann Christian,1735,1782,Germany,Male,Bach Johann Christian,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Bach Johann Christian', 1735, 1782, 'Germany', 'Male', 'Bach Johann Christian')",#VALUE!,Bach,Johann,Christian,"Bach, Johann Christian"
BachJS,1685,1750,Germany,Male,BachJS,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('BachJS', 1685, 1750, 'Germany', 'Male', 'BachJS')",#VALUE!,BachJS,,,"BachJS, "
Backman,1961,,Sweden,Female,Backman,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Backman', 1961, 'Sweden', 'Female', 'Backman')",#VALUE!,Backman,,,"Backman, "
Balanescu,1954,,Romania,Male,Balanescu,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Balanescu', 1954, 'Romania', 'Male', 'Balanescu')",#VALUE!,Balanescu,,,"Balanescu, "
Balassa Sándor,1935,,Hungary,Male,Balassa Sándor,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Balassa Sándor', 1935, 'Hungary', 'Male', 'Balassa Sándor')",#VALUE!,Balassa,Sándor,,"Balassa, Sándor"
Balducci,1796,1845,Italy,Male,Balducci,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Balducci', 1796, 1845, 'Italy', 'Male', 'Balducci')",#VALUE!,Balducci,,,"Balducci, "
