,composer,year_birth,year_death,place_birth,place_death,clean_name,c_birth
13628,"Krieger [Kriger, Krüger, Krugl, Kriegher], Johann Philipp [Giovanni Filippo]",1649.0,1725.0,nürnberg,weissenfels,"Krieger, Johann Philipp",Germany
13646,"Krogulski, Jósef Wladyslaw",1815.0,1842.0,tarnów,warszawa,"Krogulski, Jósef Wladyslaw",Poland
13647,"Krohn, Felix (Julius Theofil)",1898.0,1963.0,tampere,lahti,"Krohn, Felix",Finland
13648,"Krol, Bernhard",1920.0,1920.0,berlin,berlin,"Krol, Bernhard",Germany
13650,"Krstic, Petar",1877.0,1957.0,beograd,beograd,"Krstic, Petar",Serbia
13651,"Krug, Friedrich",1812.0,1892.0,kassel,karlsruhe,"Krug, Friedrich",Germany
13654,"Krug, (Wenzel) Joseph",,,,,"Krug, Joseph",Thailand
13655,"Kruis, M. H. van't",1861.0,1919.0,oudewater,lausanne,"Kruis, M. H. vant",Netherlands
13656,"Kruyf, Ton de",1937.0,1937.0,leerdam,leerdam,"Kruyf, Ton de",Netherlands
13659,"Krygell, Johan Adam",1835.0,1915.0,naestved,københavn,"Krygell, Johan Adam",Denmark
13660,"Krylov, Pavel",1885.0,1935.0,tver,moskva,"Krylov, Pavel",Russia
13661,"Kryukov, Vladimir Nikolayevich",1902.0,1960.0,moskva,staraya,"Kryukov, Vladimir Nikolayevich",Russia
13665,"Kubelik, (Jeroným) Rafael",1914.0,1914.0,býchory,býchory,"Kubelik, Rafael",Czechia
13667,"Kubik, Gail (Thompson)",1914.0,1984.0,south,covina,"Kubik, Gail",USA
13669,"Kubin, Rudolf",1909.0,1973.0,ostrava,ostrava,"Kubin, Rudolf",Czechia
13673,"Küchler [Kücheler, Kichler, Kiechler], Johann",1738.0,1790.0,quedlinburg,mainz,"Küchler, Johann",Germany
13674,"Kücken, Friedrich Wilhelm",1810.0,1882.0,bleckede,schwerin,"Kücken, Friedrich Wilhelm",Germany
13676,"Kuhlau, (Daniel) Friedrich [Frederik] (Rudolph)",1786.0,1832.0,ülzen,københavn,"Kuhlau, Friedrich",Germany
13682,"Kuhnau [Kuhn, Cuno], Johann",1660.0,1722.0,geising,leipzig,"Kuhnau, Johann",
13685,"Kühner, Basil",1840.0,1911.0,stuttgart,vilnius,"Kühner, Basil",Germany
13686,"Kulenkampff, Gustav",1849.0,1921.0,bremen,berlin,"Kulenkampff, Gustav",Germany
13692,"Kullak, Franz",1844.0,1913.0,berlin,berlin,"Kullak, Franz",Germany
13693,"Kunad, Rainer",1936.0,1936.0,chemnitz,chemnitz,"Kunad, Rainer",Germany
