,composer,year_birth,year_death,place_birth,place_death,clean_name
14314,"Lebrun, Paul Henri Joseph",1863.0,1920.0,ghent,louvain,"Lebrun, Paul Henri Joseph"
14315,"Leça, Armando Lopez",1893.0,1977.0,leça,vila,"Leça, Armando Lopez"
14317,"Leclair, Jean-Marie",,,,,"Leclair, Jean-Marie"
14319,"Lecocq [Lecoq], (Alexandre) Charles",1832.0,1918.0,paris,paris,"Lecocq, Charles"
14372,"Lecuona, Ernesto",1896.0,1963.0,guanabacoa,santa,"Lecuona, Ernesto"
14376,"Lederer, Joseph [Anton]",1733.0,1796.0,ziemetshausen,ulm,"Lederer, Joseph"
14377,"Leduc, Jacques",1932.0,1932.0,jette,jette,"Leduc, Jacques"
14378,"Lee, Dai-Keong",1915.0,1915.0,honolulu,honolulu,"Lee, Dai-Keong"
14384,"Lee, George Alexander",1802.0,1851.0,london,london,"Lee, George Alexander"
14386,"Lees [Lysniansky], Benjamin",1924.0,1924.0,harbin,harbin,"Lees, Benjamin"
14388,"Leeuw, Reinbert de",1938.0,1938.0,amsterdam,amsterdam,"Leeuw, Reinbert de"
14390,"Leeuw, Ton [Antonius] (Wilhelminus Adrianus) de",1926.0,1926.0,rotterdam,rotterdam,"Leeuw, Ton  de"
14392,"LeFanu, Nicola (Frances)",1947.0,1947.0,wickham,wickham,"LeFanu, Nicola"
14394,"Lefébure-Wély, Louis James Alfred",1817.0,1869.0,paris,paris,"Lefébure-Wély, Louis James Alfred"
14395,"Lefebvre, Charles Édouard",1843.0,1917.0,paris,aix,"Lefebvre, Charles Édouard"
14399,"Lefèbvre, Joseph",1761.0,1822.0,berlin,paris,"Lefèbvre, Joseph"
14401,"Le Flem, Paul",1881.0,1984.0,lézardrieux,trégastel,"Le Flem, Paul"
14406,"Légat de Furcy [Furci, Fursy, Legal Defurcy], Antoine",1740.0,1790.0,maubeuge,,"Légat de Furcy, Antoine"
14412,"Leginska [Liggins], Ethel",1886.0,1970.0,hull,los,"Leginska, Ethel"
14414,"Legley, Vic(tor)",1915.0,1915.0,hazebrouck,hazebrouck,"Legley, Vic"
14415,"Legouix, (Isidore) Edouard",1834.0,1916.0,paris,boulogne,"Legouix, Edouard"
14431,"Legrenzi, Giovanni",1626.0,1690.0,clusone,venezia,"Legrenzi, Giovanni"
14450,"Legros [Le Gros], Joseph",1739.0,1793.0,monampteuil,la,"Legros, Joseph"
14452,"Lehár, Franz [Ferencz]",1870.0,1948.0,komárom,bad,"Lehár, Franz"
14495,"Lehmann, Liza [Elizabetha] (Nina Mary Frederica)",1862.0,1918.0,london,pinner,"Lehmann, Liza"
14499,"Lehrman, Leonard J(ordan)",1949.0,1949.0,ft,ft,"Lehrman, Leonard J"
14507,Blitzstein,,,,,Blitzstein
14509,"Leibowitz, René",1913.0,1972.0,warszawa,paris,"Leibowitz, René"
14516,"Leigh, Walter",1905.0,1942.0,london,tobruk,"Leigh, Walter"
14519,"Leighton, Kenneth",1929.0,1988.0,wakefield,edinburgh,"Leighton, Kenneth"
14520,"Leite, António (Joaquim) da Silva",1759.0,1833.0,oporto,oporto,"Leite, António da Silva"
14522,"Lekeu, Guillaume (Jean Joseph Nicolas)",1870.0,1894.0,heusy,angers,"Lekeu, Guillaume"
14524,"Lemaire, Jean Eugène Gaston",1854.0,1928.0,château,paris,"Lemaire, Jean Eugène Gaston"
14529,"Lemière [Le Mière, Lemierre] de Corvey, Jean Frédéric Auguste",1770.0,1832.0,rennes,paris,"Lemière de Corvey, Jean Frédéric Auguste"
14552,"Lemoyne, Gabriel",1772.0,1815.0,berlin,paris,"Lemoyne, Gabriel"
14553,"Lemoyne [Moyne], Jean-Baptiste",1751.0,1796.0,eymet,paris,"Lemoyne, Jean-Baptiste"
14569,"Lendvay, Erwin",1882.0,1882.0,budapest,budapest,"Lendvay, Erwin"
14570,"Lendvay, Kamilló",1928.0,1928.0,budapest,budapest,"Lendvay, Kamilló"
14572,"Lenepveu, Charles (Ferdinand)",1840.0,1910.0,rouen,paris,"Lenepveu, Charles"
14576,"Lenormand, René",1846.0,1932.0,elbeuf,paris,"Lenormand, René"
14577,"Leo, Leonardo [Lionardo] (Ortensio Salvatore de [di])",1694.0,1744.0,s,napoli,"Leo, Leonardo"
14646,"Leon, Bayani Mendoza de",1942.0,1942.0,manila,manila,"Leon, Bayani Mendoza de"
14647,"Leon, Felipe Padilla de",1912.0,1992.0,peñaranda,,"Leon, Felipe Padilla de"
14649,"Leoncavallo, Ruggero",1857.0,1919.0,napoli,montecatini,"Leoncavallo, Ruggero"
