opera_title	 opera_description	 date	 role	 artist	 url
The Steadfast Tin Soldier	opera for children in two actsmusic by Sergey Banevich	2015-12-13	Nightingale	Svetlana Tokareva	https://novat.nsk.ru/en/afisha/performances/detail/737883/
The Steadfast Tin Soldier	opera for children in two actsmusic by Sergey Banevich	2015-12-13	Clockwork Nightingale	Victor Ditenbir	https://novat.nsk.ru/en/afisha/performances/detail/737883/
The Steadfast Tin Soldier	opera for children in two actsmusic by Sergey Banevich	2015-12-13	Devil	Kirill Nifontov	https://novat.nsk.ru/en/afisha/performances/detail/737883/
The Steadfast Tin Soldier	opera for children in two actsmusic by Sergey Banevich	2015-12-13	Horse	Andrey Isakov	https://novat.nsk.ru/en/afisha/performances/detail/737883/
The Steadfast Tin Soldier	opera for children in two actsmusic by Sergey Banevich	2015-12-13	Mole	Alexey Laushkin	https://novat.nsk.ru/en/afisha/performances/detail/737883/
La traviata	opera in two actsmusic by Giuseppe Verdi	2015-12-15	Violetta Valéry	Daria Shuvalova	https://novat.nsk.ru/en/afisha/performances/detail/733167/
La traviata	opera in two actsmusic by Giuseppe Verdi	2015-12-15	Alfredo Germont	Sergey Kuzmin	https://novat.nsk.ru/en/afisha/performances/detail/733167/
La traviata	opera in two actsmusic by Giuseppe Verdi	2015-12-15	Giorgio Germont	Maxim Aniskin	https://novat.nsk.ru/en/afisha/performances/detail/733167/
La traviata	opera in two actsmusic by Giuseppe Verdi	2015-12-15	Flora Bervoix	Ekaterina Marzoeva	https://novat.nsk.ru/en/afisha/performances/detail/733167/
La traviata	opera in two actsmusic by Giuseppe Verdi	2015-12-15	Gastone	Kirill Nifontov	https://novat.nsk.ru/en/afisha/performances/detail/733167/
La traviata	opera in two actsmusic by Giuseppe Verdi	2015-12-15	Barone Douphol	Andrey Isakov	https://novat.nsk.ru/en/afisha/performances/detail/733167/
La traviata	opera in two actsmusic by Giuseppe Verdi	2015-12-15	Marchese d’Obigny	Andrey Triller	https://novat.nsk.ru/en/afisha/performances/detail/733167/
La traviata	opera in two actsmusic by Giuseppe Verdi	2015-12-15	Doctor Grenvil	Alexey Laushkin	https://novat.nsk.ru/en/afisha/performances/detail/733167/
La traviata	opera in two actsmusic by Giuseppe Verdi	2015-12-15	Annina	Julia Yartseva	https://novat.nsk.ru/en/afisha/performances/detail/733167/
Iolanta	one-act operamusic by Pyotr Tchaikovsky	2015-12-20	Iolanta	Irina Churilova	https://novat.nsk.ru/en/afisha/performances/detail/733177/
Iolanta	one-act operamusic by Pyotr Tchaikovsky	2015-12-20	Vaudémont	Roman Zavadsky	https://novat.nsk.ru/en/afisha/performances/detail/733177/
Iolanta	one-act operamusic by Pyotr Tchaikovsky	2015-12-20	Robert	Maxim Aniskin	https://novat.nsk.ru/en/afisha/performances/detail/733177/
Iolanta	one-act operamusic by Pyotr Tchaikovsky	2015-12-20	King René	Nikolay Loskutkin	https://novat.nsk.ru/en/afisha/performances/detail/733177/
Iolanta	one-act operamusic by Pyotr Tchaikovsky	2015-12-20	Ibn-Hakia	Pavel Yankovsky	https://novat.nsk.ru/en/afisha/performances/detail/733177/
Iolanta	one-act operamusic by Pyotr Tchaikovsky	2015-12-20	Alméric	Evgeniy Kozyrev	https://novat.nsk.ru/en/afisha/performances/detail/733177/
Iolanta	one-act operamusic by Pyotr Tchaikovsky	2015-12-20	Bertrand	Alexey Laushkin	https://novat.nsk.ru/en/afisha/performances/detail/733177/
Iolanta	one-act operamusic by Pyotr Tchaikovsky	2015-12-20	Marta	Galina Kuznetsova	https://novat.nsk.ru/en/afisha/performances/detail/733177/
Iolanta	one-act operamusic by Pyotr Tchaikovsky	2015-12-20	Brigitta	Olga Kolobova	https://novat.nsk.ru/en/afisha/performances/detail/733177/
Iolanta	one-act operamusic by Pyotr Tchaikovsky	2015-12-20	Laura	Olga Obukhova	https://novat.nsk.ru/en/afisha/performances/detail/733177/
Iolanta	one-act operamusic by Pyotr Tchaikovsky	2015-12-20	Conductor	Evgeny Volynsky	https://novat.nsk.ru/en/afisha/performances/detail/733177/
Il barbiere di Siviglia	 Concert performance-Premiere-comic opera in two actsmusic by Gioachino Rossini	2015-12-22	Count Almaviva	Vladimir Kuchin	https://novat.nsk.ru/en/afisha/performances/detail/733179/
Il barbiere di Siviglia	 Concert performance-Premiere-comic opera in two actsmusic by Gioachino Rossini	2015-12-22	Bartolo	Vladimir Ognev	https://novat.nsk.ru/en/afisha/performances/detail/733179/
Il barbiere di Siviglia	 Concert performance-Premiere-comic opera in two actsmusic by Gioachino Rossini	2015-12-22	Rosina	Svetlana Tokareva	https://novat.nsk.ru/en/afisha/performances/detail/733179/
Il barbiere di Siviglia	 Concert performance-Premiere-comic opera in two actsmusic by Gioachino Rossini	2015-12-22	Figaro	Maxim Aniskin	https://novat.nsk.ru/en/afisha/performances/detail/733179/
Il barbiere di Siviglia	 Concert performance-Premiere-comic opera in two actsmusic by Gioachino Rossini	2015-12-22	Basilio	Alexey Laushkin	https://novat.nsk.ru/en/afisha/performances/detail/733179/
Il barbiere di Siviglia	 Concert performance-Premiere-comic opera in two actsmusic by Gioachino Rossini	2015-12-22	Berta	Lidia Bondarenko	https://novat.nsk.ru/en/afisha/performances/detail/733179/
Il barbiere di Siviglia	 Concert performance-Premiere-comic opera in two actsmusic by Gioachino Rossini	2015-12-22	Fiorello	Karen Movsesyan	https://novat.nsk.ru/en/afisha/performances/detail/733179/
Il barbiere di Siviglia	 Concert performance-Premiere-comic opera in two actsmusic by Gioachino Rossini	2015-12-22	An Alcade	Sergey Zakharov	https://novat.nsk.ru/en/afisha/performances/detail/733179/
Il barbiere di Siviglia	 Concert performance-Premiere-comic opera in two actsmusic by Gioachino Rossini	2015-12-23	Count Almaviva	Sergey Kuzmin	https://novat.nsk.ru/en/afisha/performances/detail/733181/
Il barbiere di Siviglia	 Concert performance-Premiere-comic opera in two actsmusic by Gioachino Rossini	2015-12-23	Bartolo	Vladimir Ognev	https://novat.nsk.ru/en/afisha/performances/detail/733181/
Il barbiere di Siviglia	 Concert performance-Premiere-comic opera in two actsmusic by Gioachino Rossini	2015-12-23	Rosina	Svetlana Tokareva	https://novat.nsk.ru/en/afisha/performances/detail/733181/
Il barbiere di Siviglia	 Concert performance-Premiere-comic opera in two actsmusic by Gioachino Rossini	2015-12-23	Figaro	Pavel Yankovsky	https://novat.nsk.ru/en/afisha/performances/detail/733181/
Il barbiere di Siviglia	 Concert performance-Premiere-comic opera in two actsmusic by Gioachino Rossini	2015-12-23	Basilio	Alexey Laushkin	https://novat.nsk.ru/en/afisha/performances/detail/733181/
Il barbiere di Siviglia	 Concert performance-Premiere-comic opera in two actsmusic by Gioachino Rossini	2015-12-23	Berta	Lidia Bondarenko	https://novat.nsk.ru/en/afisha/performances/detail/733181/
Il barbiere di Siviglia	 Concert performance-Premiere-comic opera in two actsmusic by Gioachino Rossini	2015-12-23	Fiorello	Karen Movsesyan	https://novat.nsk.ru/en/afisha/performances/detail/733181/
Il barbiere di Siviglia	 Concert performance-Premiere-comic opera in two actsmusic by Gioachino Rossini	2015-12-23	An Alcade	Sergey Zakharov	https://novat.nsk.ru/en/afisha/performances/detail/733181/
