opera_title	 opera_description	 date	 role	 artist	 url
La Bayadere	Ballet in three acts	20140507190000	Gamzatti, his daughter	Maria Alexandrova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20140507190000	Solor, the noble warrior	Vladislav Lantratov	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20140507190000	The High Brahmin	Andrei Sitnikov	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20140507190000	Toloragva, warrior	Alexander Voytyuk	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20140507190000	A Slave	Denis Rodkin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20140507190000	Magedaveya, fakir	Anton Savichev	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20140507190000	Aya, slave	Kristina Karasyova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20140507190000	Gumpe	Victoria Litvinova,Yulia Skvortsova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20140507190000	Grand Pas	Daria Bochkova,Alesya Gradova,Yulia Grebenshchikova,Angelina Karpova,Nelli Kobakhidze,Elizaveta Kruteleva,Olga Marchenkova,Margarita Shrainer,Karim Abdullin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20140507190000	Dance with drum	Anna Antropova,Vitaly Biktimirov,Alexei Matrakhov	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20140507190000	The Bronze Idol	Denis Medvedev	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20140507190000	Manu (Dance with Jug)	Anna Rebetskaya	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20140507190000	Scene "Shadows"		https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20140507190000	Scene "Shadows"First Variation	Elizaveta Kruteleva	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20140507190000	Second Variation	Anna Tikhomirova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20140507190000	Third Variation	Chinara Alizade	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20140507190000	Conductor	Pavel Klinichev	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20140508190000	Nikia	Anna Nikulina	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20140508190000	Dugmanta, Rajah	Alexei Loparevich	https://www.bolshoi.ru/en/performances/1/roles/#all
